"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",403912891033.374,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",418284865884.998,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",441634672196.523,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",490740715594.80194,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",567267767519.158,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",554212916092.271,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",598851028906.58,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",715888126682.396,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",686420221557.99,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",706234937370.968,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",726537808338,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",694118186379.628,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",687895460902.713,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",695200833086.499,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",725568717468.001,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",721369112726.724,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",741999406005.627,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",813408787222.499,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",818426550206.45,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",884940402230.409,"Nominal GDP"
